Scientific_Name	Common_Name
Coryphaenoides cinereus	popeye grenadier
Bolinichthys longipes	popeye lanternfish
Urogymnus asperrimus	porcupine ray
Potamotrygon hystrix	porcupine river stingray
Arthroleptis reichei	Poroto Mountains screeching frog
Dipturus maugeanus	Port Davey skate
Dianema longibarbis	porthole catfish
Hemisorubim platyrhynchos	porthole shovelnose catfish
Charadrahyla taeniopus	porthole treefrog
Trachycephalus mesophaeus	Porto Alegre golden-eyed treefrog
Scorpaenopsis possi	Poss' scorpionfish
Pseudomonacanthus peroni	pot-bellied leatherjacket
Epinephelus tukula	potato grouper
Potorous tridactylus	Potorous tridactylus apicalis
Potorous tridactylus	Potorous tridactylus tridactylus
Potorous tridactylus	Potorous tridactylus trisulcatus
Perodicticus potto	potto
Desmodilliscus braueri	pouched gerbil
Ninox strenua	Powerful owl
Microtus ochrogaster	prairie vole
Colostethus pratti	Pratt's rocket frog
Hipposideros pratti	Pratt's roundleaf bat
Ansonia smeagol	precious stream-toad
Chanodichthys erythropterus	predatory carp
Mysateles prehensilis	prehensile-tailed hutia
Presbytis comata	Presbytis comata comata
Presbytis femoralis	Presbytis femoralis femoralis
Presbytis melalophos	Presbytis melalophos mitrata
Callosciurus prevostii	Prevost's squirrel
Pterycombus petersii	prickley pomfret
Himantolophus appelii	prickly footballfish
Concinnia queenslandiae	prickly forest skink
Myctophum asperum	prickly lanternfish
Chaetodermis penicilligerus	prickly leatherjacket
Cottus asper	prickly sculpin
Echinorhinus cookei	prickly shark
Pseudanthias smithvanizi	princess anthias
Scarus taeniopterus	princess parrotfish
Trimma marinae	princess pygmy goby
Crithagra rufobrunnea	Principe seedeater
Prionailurus bengalensis	Prionailurus bengalensis euptilurus
Prionodon pardicolor	Prionodon pardicolor pardicolor
Arthroleptis palava	problem squeaker frog
Probosciger aterrimus	Probosciger aterrimus goliath
Rhynchonycteris naso	proboscis bat
Nasalis larvatus	proboscis monkey
Proechimys goeldii	Proechimys goeldii hyleae
Proechimys semispinosus	Proechimys semispinosus calidior
Antilocapra americana	pronghorn
Protopterus aethiopicus	Protopterus aethiopicus aethiopicus
Protopterus annectens	Protopterus annectens annectens
Procapra przewalskii	Przewalski's gazelle
Equus przewalskii	Przewalski's horse
Brachiones przewalskii	Przewalski's jird
Psammobates tentorius	Psammobates tentorius tentorius
Psammobates tentorius	Psammobates tentorius trimeni
Psammobates tentorius	Psammobates tentorius verroxii
Pseudacris crucifer	Pseudacris crucifer bartramiana
Pseudacris crucifer	Pseudacris crucifer crucifer
Pseudacris nigrita	Pseudacris nigrita nigrita
Pseudacris nigrita	Pseudacris nigrita verrucosa
Pseudastur albicollis	Pseudastur albicollis costaricensis
Pseudastur albicollis	Pseudastur albicollis ghiesbreghti
Pseudocrossocheilus	Pseudocrossocheilus tridentis
Pseudogastromyzon changtingensis	Pseudogastromyzon changtingensis changtingensis
Pseudogastromyzon changtingensis	Pseudogastromyzon changtingensis tungpeiensis
Pseudogastromyzon fasciatus	Pseudogastromyzon fasciatus fasciatus
Pseudogastromyzon fasciatus	Pseudogastromyzon fasciatus jiulongjiangensis
Pseudogobio esocinus	Pseudogobio esocinus esocinus
Pseudois nayaur	Pseudois nayaur nayaur
Pseudois nayaur	Pseudois nayaur szechuanensis
Pseudorasbora pumila	Pseudorasbora pumila pumila
Thectocercus acuticaudatus	Psittacara acuticaudatus acuticaudatus
Psittacara mitratus	Psittacara mitratus mitratus
Pteroglossus azara	Pteroglossus azara flavirostris
Pteropus anetianus	Pteropus anetianus eotinus
Pteropus capistratus	Pteropus capistratus ennisae
Pteropus pelewensis	Pteropus pelewensis pelewensis
Pteropus samoensis	Pteropus samoensis nawaiensis
Pteropus seychellensis	Pteropus seychellensis comorensis
Pteropus seychellensis	Pteropus seychellensis seychellensis
Halichoeres radiatus	puddingwife wrasse
Spectrunculus grandis	pudgy cuskeel
Peromyscus mekisturus	Puebla deer mouse
Todus mexicanus	puerto rican tody
Alophoixus pallidus	puff-throated bulbul
Squalus suckleyi	Puget Sound dogfish
Sebastes emphaeus	Puget Sound rockfish
Opsopoeodus emiliae	pugnose minnow
Ansonia tiomanica	Pulo Tioman stream toad
Puma concolor	puma
Scorpaena pepo	pumpkin scorpionfish
Brachycephalus ephippium	pumpkin toadlet
Lepomis gibbosus	pumpkinseed sunfish
Dasyprocta punctata	punctate agouti
Exyrias puntang	Puntang goby
Phyllomedusa duellmani	purple and orange leaf frog
Takifugu porphyreus	purple puffer
Hoplolatilus purpureus	purple sand tilefish
Porphyrio porphyrio	purple swamphen
Gallirex porphyreolophus	purple-crested turaco
Trachypithecus vetulus	purple-faced leaf monkey
Phyllomedusa baltea	purple-sided leaf frog
Priacanthus tayenus	purple-spotted bigeye
Mogurnda adspersa	purple-spotted gudgeon
Euphonia chlorotica	purple-throated Euphonia
Centropyge venusta	purplemask angelfish
Gymnothorax vicinus	purplemouth moray
Pseudohynobius puxiongensis	Puxiong's protohynobiid
Nymphargus mariae	Puyo giant glass frog
Pycnonotus sinensis	Pycnonotus sinensis hainanus
Zaedyus pichiy	pygmy armadillo
Nannosalarias nativitatis	pygmy blenny
Chodsigoa parva	pygmy brown-toothed shrew
Balaenoptera edeni	pygmy Bryde's whale
Pan paniscus	pygmy chimpanzee
Caracanthus unipinna	pygmy coral croucher
Mobula eregoodootenkee	pygmy devil ray
Chaetorhynchus papuensis	pygmy drongo
Apodemus uralensis	pygmy field mouse
Stephanolepis setifer	pygmy filefish
Craugastor pygmaeus	pygmy free-fingered frog
Aethalops alecto	Pygmy fruit bat
Hexaprotodon liberiensis	pygmy hippopotamus
Porcula salvania	Pygmy hog
Feresa attenuata	pygmy killer whale
Lampanyctus pusillus	pygmy lanternfish
Etmopterus fusus	pygmy lanternshark
Cebuella pygmaea	pygmy marmoset
Planigale maculata	pygmy planigale
Odontopyxis trispinosa	pygmy poacher
Brachylagus idahoensis	pygmy rabbit
Caperea marginata	pygmy right whale
Pristimantis ridens	pygmy robber frog
Litoria microbelos	pygmy rocketfrog
Lophostoma brasiliense	Pygmy round-eared bat
Desmognathus wrighti	pygmy salamander
Scorpaenodes scaber	pygmy scorpionfish
Sorex minutus	pygmy shrew
Microgale parvula	pygmy shrew tenrec
Nycticebus pygmaeus	pygmy slow loris
Lipariscus nanus	pygmy snailfish
Kogia breviceps	pygmy sperm whale
Microsciurus flaviventer	pygmy squirrel
Bradypus pygmaeus	Pygmy three-toed sloth
Symphurus orientalis	pygmy tongue-sole
Prosopium coulterii	pygmy whitefish
Picoides kizuki	pygmy woodpecker
Enneapterygius pyramis	pyramid triplefin
Calotriton asper	Pyrenean brook newt
Rupicapra pyrenaica	Pyrenean chamois
Equus burchellii quagga	quagga
Malacanthus brevirostris	quakerfish
Oedipina poelzi	quarry worm salamander
Holacanthus ciliaris	queen angelfish
Balistes vetula	queen triggerfish
Vidua regia	queen whydah
Eviota queenslandica	Queensland pygmy goby
Nyctimene robinsoni	Queensland tube-nosed fruit bat
Carpiodes cyprinus	quillback
Sebastes maliger	quillback rockfish
Ptilichthys goodei	quillfish
Colostethus jacobuspetersi	Quito rocket frog
Setonix brachyurus	quokka
Scarus quoyi	Quoy's parrotfish
Oryctolagus cuniculus	rabbit
Chimaera monstrosa	rabbit fish
Leptodactylus cunicularius	rabbit-burrow frog
Ecnomiohyla rabborum	Rabbs' fringe-limbed treefrog
Procyon lotor	raccoon
Chaetodon lunula	raccoon butterflyfish
Nyctereutes procyonoides	raccoon dog
Coracias spatulatus	racket-tailed roller
Pterois radiata	radial firefish
Ulvaria subbifurcata	radiated shanny
Peroryctes raffrayana	Raffray's bandicoot
Corynorhinus rafinesquii	Rafinesque's big-eared bat
Paradisaea raggiana	Raggiana bird of paradise
Scorpaenopsis venosa	raggy scorpionfish
Heteroscarus acroptilus	rainbow cale
Archocentrus multispinosus	rainbow cichlid
Etheostoma caeruleum	rainbow darter
Sarcocheilichthys nigripinnis	rainbow gudgeon
Pelvicachromis pulcher	rainbow krib
Scarus guacamaia	rainbow parrotfish
Elagatis bipinnulata	rainbow runner
Dussumieria acuta	rainbow sardine
Epalzeorhynchos frenatus	rainbow sharkminnow
Notropis chrosomus	rainbow shiner
Osmerus mordax	rainbow smelt
Nematobrycon lacortei	rainbow tetra
Oncorhynchus mykiss	rainbow trout
Chaetodon rainfordi	Rainford's butterflyfish
Silverstoneia flotator	rainforest rocket frog
Maxomys rajah	Rajah spiny rat
Lampanyctus macdonaldi	rakery beaconlamp
Rallina eurizonoides	Rallina eurizonoides sepiaria
Ramphastos ambiguus	Ramphastos ambiguus ambiguus
Ramphastos sulfuratus	Ramphastos sulfuratus brevicarinatus
Ramphastos sulfuratus	Ramphastos sulfuratus sulfuratus
Ramphastos toco	Ramphastos toco albogularis
Ramphastos tucanus	Ramphastos tucanus tucanus
Assessor randalli	Randall's assessor basslet
Chromis randalli	Randall's chromis
Pseudanthias randalli	Randall's fairy basslet
Trimma randalli	Randall's pygmy goby
Randallichthys filamentosus	Randall's snapper
Lepilemur randrianasoloi	Randrianasolo's sportive lemur
Pristimantis ginesi	Rangel robber frog
Parioglossus raoi	Rao's hover goby
Girella nebulosa	Rapanui nibbler
Limnomedusa macroglossa	rapids frog
Bathyraja isotrachys	raspback skate
Etmopterus sheikoi	rasptooth dogfish
Megaerops niphanae	Ratanaworabhan's fruit bat
Mellivora capensis	ratel
Ratufa bicolor	Ratufa bicolor melanopepla
Prionurus laticlavius	razor surgeonfish
Sternotherus carinatus	Razorback musk turtle
Assurger anzac	razorback scabbardfish
Xyrauchen texanus	razorback sucker
Alepes kleinii	razorbelly scad
Alca torda	razorbill
Aeoliscus strigatus	razorfish
Cirrhinus reba	reba carp
Crossocheilus langei	red algae eater
Petaurista alborufus	red and white giant flying squirrel
Oecomys rutilus	red arboreal rice rat
Sphyraena pinguis	red barracuda
Lasiurus borealis	red bat
Priacanthus macracanthus	red bigeye
Mazama americana	red brocket
Hypselobarbus thomassi	red canarese barb
Fistularia petimba	red cornetfish
Santamartamys rufodorsalis	red crested soft-furred spiny-rat
Cervus elaphus	red deer
Sciaenops ocellatus	red drum
Trimma milta	red earth dwarf goby
Myroconger compressus	red eel
Bembras japonica	red flathead
Vulpes vulpes	red fox
Mullus auratus	red goatfish
Naemorhedus baileyi	red goral
Erythrocebus patas	red guenon
Chelidonichthys spinosus	red gurnard
Phaeognathus hubrichti	Red Hills salamander
Hemilepidotus hemilepidotus	red Irish lord
Osphranter rufus	red kangaroo
Milvus milvus	red kite
Calidris canutus	red knot
Pterois volitans	red lionfish
Synodus ulae	red lizard fish
Scarus xanthopleura	red parrotfish
Glossolepis incisus	red rainbowfish
Potamochoerus porcus	red river hog
Cyprinodon rubrofluviatilis	Red River pupfish
Aethomys chrysophilus	red rock rat
Pseudotriton ruber	red salamander
Scorpaena scrofa	red scorpionfish
Atherinomorus forskalii	Red Sea hardyhead silverside
Hypoatherina golanii	Red Sea silverside
Pagrus major	red seabream
Capricornis rubidus	red serow
Pygathrix nemaeus	Red shanked douc langur
Cyprinella lutrensis	red shiner
Stethojulis bandanensis	red shoulder wrasse
Lethrinus reticulatus	red snout emperor
Scinax ruber	red snouted treefrog
Triacanthodes anomalus	red spikefish
Hemitrygon akajei	red stingray
Barbonymus altus	red tailed tinfoil
Branchiostegus japonicus	red tilefish
Cynoglossus joyneri	red tonguesole
Gnathanacanthus goetzeei	red velvetfish
Canis rufus	red wolf
Ara chloropterus	red-and-green macaw
Malurus melanocephalus	red-backed fairy wren
Buteo polyosoma	red-backed hawk
Plethodon cinereus	red-backed salamander
Lanius collurio	red-backed shrike
Pseudophryne coriacea	red-backed toadlet
Oophaga lehmanni	red-banded poison frog
Eulemur rubriventer	red-bellied lemur
Orthopsittaca manilatus	Red-bellied macaw
Taricha rivularis	red-bellied newt
Thylogale billardierii	red-bellied pademelon
Pygocentrus nattereri	red-bellied piranha
Storeria occipitomaculata	Red-bellied Snake
Plecturocebus moloch	red-bellied titi
Pseudanthias rubrizonatus	red-belted anthias
Lophoceros camurus	red-billed dwarf hornbill
Pternistis adspersus	Red-billed francolin
Tockus erythrorhynchus	red-billed hornbill
Leiothrix lutea	red-billed leiothrix
Buphagus erythrorhynchus	red-billed oxpecker
Quelea quelea	red-billed quelea
Sturnus sericeus	red-billed starling
Trimma rubromaculatum	red-blotched pygmy-goby
Psittacula alexandri	red-breasted parakeet
Calandrella cinerea	red-capped lark
Petroica goodenovii	red-capped robin
Pseudanthias huchtii	red-cheeked fairy basslet
Nomascus gabriellae	Red-cheeked gibbon
Sarothrura rufa	red-chested flufftail
Trichoglossus rubritorquis	red-collared lorikeet
Coryphospingus cucullatus	Red-crested finch
Netta rufina	red-crested pochard
Grus japonensis	Red-crowned crane
Batagur kachuga	red-crowned roofed turtle
Trachemys scripta	red-eared slider turtle
Etrumeus teres	red-eye round herring
Agalychnis callidryas	red-eyed leaf frog
Ranoidea chloris	red-eyed tree frog
Vireo olivaceus	red-eyed vireo
Liocichla phoenicea	red-faced liocichla
Deroptyus accipitrinus	red-fan parrot
Cephalophus rufilatus	red-flanked duiker
Chelonoidis carbonarius	red-footed tortoise
Eudorcas rufifrons	Red-fronted gazelle
Eulemur rufus	Red-fronted lemur
Pogoniulus pusillus	Red-fronted tinkerbird
Eubucco bourcierii	red-headed barbet
Agapornis pullarius	red-headed lovebird
Ranitomeya fantastica	red-headed poison frog
Piranga erythrocephala	red-headed tanager
Dremomys pyrrhomerus	red-hipped squirrel
Piranga rubriceps	red-hooded tanager
Rana aurora	red-legged frog
Thylogale stigmatica	red-legged pademelon
Alectoris rufa	red-legged partridge
Cariama cristata	Red-legged seriema
Monodelphis brevicaudata	Red-legged short-tailed Opossum
Halichoeres biocellatus	red-lined wrasse
Cirrhilabrus rubrimarginatus	red-margined wrasse
Psittacara erythrogenys	red-masked parakeet
Gobius cruentatus	red-mouthed goby
Thylogale thetis	Red-necked pademelon
Phalaropus lobatus	red-necked phalarope
Pternistis afer	Red-necked spurfowl
Notamacropus rufogriseus	red-necked wallaby
Makalata didelphoides	Red-nosed armored tree-rat
Phyllomedusa boliviana	red-rimmed leaf frog
Buteo lineatus	red-shouldered hawk
Trachylepis homalocephala	Red-sided skink
Dendropsophus rhodopeplus	red-skirted treefrog
Cirripectes variolosus	red-speckled blenny
Nyctimantis siemersi	red-spotted Argentina frog
Acanthocepola krusensternii	red-spotted bandfish
Anaxyrus punctatus	red-spotted toad
Oreolalax rhodostigmatus	red-spotted toothed toad
Ostorhinchus margaritophorus	red-striped cardinalfish
Rasbora pauciperforata	red-stripped rasbora
Criniger calurus	red-tailed bulbul
Buteo jamaicensis	red-tailed hawk
Tylototriton kweichowensis	red-tailed knobby newt
Trochalopteron milnei	red-tailed laughingthrush
Minla ignotincta	red-tailed minla
Phascogale calura	red-tailed phascogale
Lepilemur ruficaudatus	red-tailed sportive lemur
Sciurus granatensis	red-tailed squirrel
Phaethon rubricauda	red-tailed tropicbird
Gavia stellata	red-throated loon
Psittacara rubritorquis	red-throated parakeet
Epinephelus retouti	red-tipped grouper
Pycnonotus jocosus	red-whiskered bulbul
Agelaius phoeniceus	red-winged blackbird
Malurus elegans	Red-winged fairywren
Scleroptila levaillantii	Red-winged francolin
Ranitomeya reticulata	redback poison frog
Hoplolatilus marcosi	redback sand tilefish
Sparisoma aurofrenatum	redband parrotfish
Sebastes babcocki	redbanded rockfish
Eviota nigriventris	redbelly dwarfgoby
Coptodon zillii	redbelly tilapia
Caesio cuning	redbelly yellowtail fusilier
Plectranthias winniensis	redblotch perchlet
Iniistius twistii	redblotch razorfish
Lepomis auritus	redbreast sunfish
Cheilinus fasciatus	redbreast wrasse
Epiplatys dageti	redchin panchax
Sargocentron rubrum	redcoat
Pteronotropis harperi	redeye chub
Bryaninops natans	redeye goby
Labeo cylindricus	redeye labeo
Serrasalmus rhombeus	redeye piranha
Carinotetraodon lorteti	redeye puffer
Moenkhausia sanctaefilomenae	redeye tetra
Petrotyx sanguineus	redfin brotula
Pristicon rhodopterus	redfin cardinalfish
Bodianus dictynna	redfin hogfish
Strongylura notata	redfin needlefish
Sparisoma rubripinne	redfin parrotfish
Esox americanus americanus	redfin pickerel
Lythrurus umbratilis	redfin shiner
Paracentropogon rubripinnis	redfin waspfish
Aythya americana	redhead
Vieja melanura	redhead cichlid
Paragobiodon echinocephalus	redhead goby
Myloplus rubripinnis	redhook myleus
Geophagus steindachneri	redhump eartheater
Coryphopterus urospilus	redlight goby
Etheostoma rufilineatum	redline darter
Labroides rubrolabiatus	redlip cleaner wrasse
Notropis chiliticus	redlip shiner
Rondeletia loricata	redmouth whalefish
Mauremys nigricans	redneck pond turtle
Labeo altivelis	rednose labeo
Malacoctenus hubbsi	redside blenny
Richardsonius balteatus	redside shiner
Nemipterus nemurus	redspine threadfin bream
Enteromius kerstenii	redspot barb
Nocomis asper	redspot chub
Aphyosemion cognatum	redspot panchax
Pseudocoris yamashiroi	redspot wrasse
Epiplatys lamottei	redspotted panchax
Parapercis schauinslandii	redspotted sandperch
Lepomis miniatus	redspotted sunfish
Sebastes proriger	redstripe rockfish
Discherodontus ashmeadi	redtail barb
Yasuhikotakia modesta	redtail botia
Chaetodon collare	redtail butterflyfish
Phractocephalus hemioliopterus	redtail catfish
Pervagor melanocephalus	redtail filefish
Sparisoma chrysopterum	redtail parrotfish
Decapterus kurroides	redtail scad
Epalzeorhynchos bicolor	redtail sharkminnow
Xenotoca eiseni	redtail splitfin
Amphistichus rhodoterus	redtail surfperch
Xanthichthys mento	redtail triggerfish
Enneapterygius rubicauda	redtail triplefin
Pyrrholaemus brunneus	Redthroat
Plesiops verecundus	redtip longfin
Odonus niger	redtoothed triggerfish
Erpetoichthys calabaricus	reedfish
Chaetodon sedentarius	reef butterflyfish
Paraclinus integripinnis	reef finspot
Entomacrodus striatus	reef margin blenny
Strongylura incisa	reef needlefish
Ostorhinchus taeniophorus	reef-flat cardinalfish
Gymnothorax reevesii	Reeve's moray
Tenualosa reevesii	Reeve's shad
Muntiacus reevesi	Reeves' muntjac
Syrmaticus reevesii	Reeves's pheasant
Mauremys reevesii	Reeves's turtle
Neopomacentrus cyanomos	regal demoiselle
Odaxothrissa vittata	Regan's fangtooth pellonuline
Diaphus regani	Regan's lanternfish
Anthochaera phrygia	Regent honeyeater
Rangifer tarandus	reindeer
Relictus solitarius	relict dace
Ichthyaetus relictus	relict gull
Pseudoromicia rendalli	Rendall's serotine
Polymetme corythaeola	rendezvous fish
Brachysomophis henshawi	reptilian snake eel
Cochranella resplendens	resplendent cochran frog
Pharomachrus mocinno	resplendent quetzal
Melanophryniscus setiba	Restinga toadlet
Gobiodon reticulatus	reticulate goby
Pithecopus ayeaye	reticulate leaf frog
Botia lohachata	reticulate loach
Takifugu reticularis	reticulate puffer
Cottus perplexus	reticulate sculpin
Dascyllus reticulatus	reticulated damselfish
Arothron reticularis	reticulated pufferfish
Ambystoma bishopi	reticulated salamander
Aseraggodes cheni	reticulated sole
Cephaloscyllium fasciatum	reticulated swellshark
Cylindraspis indica	Reunion giant tortoise
Scotophilus borbonicus	Reunion house bat
Glyptocephalus zachirus	Rex sole
Coilia reynaldi	Reynald's grenadier anchovy
Rhamphocharis crassirostris	Rhamphocharis crassirostris piperata
Macaca mulatta	Rhesus monkey
Gazella leptoceros	Rhim gazelle
Rhinichthys osculus	Rhinichthys osculus thermalis
Pseudalutarius nasicornis	rhino leatherjacket
Buceros rhinoceros	Rhinoceros hornbill
Rhinoceros sondaicus	Rhinoceros sondaicus annamiticus
Rhinoceros sondaicus	Rhinoceros sondaicus sondaicus
Redigobius balteatus	rhinohorn goby
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum korai
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum nippon
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum quelpartis
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum tragatus
Rhinolophus sinicus	Rhinolophus sinicus sinicus
Rhodeus atremius	Rhodeus atremius atremius
Rhodeus atremius	Rhodeus atremius suigensis
Gazza rhombea	rhomboid toothpony
Rhynchocyon chrysopygus	Rhynchocyon chrysopygus chrysopygus
Rhynchocyon chrysopygus	Rhynchocyon chrysopygus mandelai
Rhynchocyon cirnei	Rhynchocyon cirnei cirnei
Rhynchocyon cirnei	Rhynchocyon cirnei macrurus
Rhynchocyon cirnei	Rhynchocyon cirnei reichardi
Rhynchocyon cirnei	Rhynchocyon cirnei shirensis
Rhynchocyon cirnei	Rhynchocyon cirnei stuhlmanni
Rhynchocyon petersi	Rhynchocyon petersi adersi
Rhynchocyon petersi	Rhynchocyon petersi petersi
Rhynchocypris percnurus	Rhynchocypris percnurus mantschuricus
Ostorhinchus pleuron	rib-bar cardinalfish
Triglops pingelii	ribbed sculpin
Arctozenus risso	ribbon barracudina
Liopropoma lemniscatum	ribbon basslet
Trachipterus trachypterus	ribbon fish
Euleptorhamphus viridis	ribbon halfbeak
Rhinomuraena quaesita	ribbon moray
Idiacanthus fasciola	ribbon sawtail fish
Phoca fasciata	ribbon seal
Lythrurus fumeus	ribbon shiner
Urocitellus richardsonii	Richardson's ground squirrel
Gymnothorax richardsonii	Richardson's moray
Bathyraja richardsoni	Richardson's ray
Pomachromis richardsoni	Richardson's reef-damsel
Eleutherodactylus richmondi	Richmond's robber frog
Halichoeres richmondi	Richmond's wrasse
Myotis ricketti	Rickett's big-footed Myotis
Gastrotheca psychrophila	ridge marsupial frog
Macrourus carinatus	ridge scaled rattail
Pseudoeurycea obesa	ridge-tailed salamander
Dryophytes plicatus	ridged treefrog
Pleuronichthys cornutus	ridged-eye flounder
Buteo ridgwayi	Ridgway's hawk
Myotis ridleyi	Ridley's bat
Luciobarbus rifensis	Rifian barbel
Ostorhinchus kiensis	rifle cardinal
Acanthisitta chloris	rifleman
Dexistes rikuzenius	Rikuzen flounder
Streptopelia capicola	ring-necked dove
Phasianus colchicus	Ring-necked pheasant
Ostorhinchus aureus	ring-tailed cardinalfish
Nasua nasua	ring-tailed coati
Lemur catta	Ring-tailed lemur
Galidia elegans	ring-tailed mongoose
Petrogale xanthopus	ring-tailed rock wallaby
Dunckerocampus dactyliophorus	ringed pipefish
Phrynobatrachus annulatus	ringed river frog
Pusa hispida	Ringed seal
Omegophora armilla	ringed toadfish
Diadophis punctatus	Ringneck Snake
Oxycheilinus unifasciatus	ringtail Maori wrasse
Acanthurus blochii	ringtail surgeonfish
Cardioglossa gracilis	Rio Benito long-fingered frog
Megaelosia goeldii	Rio big-tooth frog
Gastrotheca dendronastes	Rio Calima marsupial frog
Typhlonectes natans	Rio Cauca caecilian
Rhinella arequipensis	Rio Chili toad
Nymphargus siren	Rio Coca cochran frog
Pristimantis quaquaversus	Rio Coca robber frog
Vitreorana eurygnatha	Rio glass frog
Gila pandora	Rio Grande chub
Physalaemus riograndensis	Rio Grande dwarf frog
Notropis jemezanus	Rio Grande shiner
Hybognathus amarus	Rio Grande silvery minnow
Hylodes meridionalis	Rio Grande tree toad
Pristimantis eriphus	Rio Jatuntianhua robber frog
Adelphobates quinquevittatus	Rio Madeira poison frog
Pristimantis fenestratus	Rio Mamore robber frog
Dasypops schirchi	Rio Mutum frog
Amazonsprattus scintilla	Rio Negro pygmy anchovy
Pristimantis cremnobates	Rio Reventador robber frog
Ischnocnema bolbodactyla	Rio robber frog
Excidobates captivus	Rio Santiago poison frog
Dendropsophus subocularis	Rio Tuquesa treefrog
Scinax littoralis	Rio Verde snouted treefrog
Gastrotheca riobambae	Riobamba marsupial frog
Myotis riparius	Riparian myotis
Pelagocephalus marki	rippled blaasop
Gobiodon rivulatus	rippled coralgoby
Istiblennius edentulus	rippled rockskipper
Oxydoras niger	ripsaw catfish
Grampus griseus	Risso's dolphin
Tor douronensis	river carp
Carpiodes carpio	river carpsucker
Nocomis micropogon	river chub
Lithobates heckscheri	river frog
Awaous banana	river goby
Lontra canadensis	River Otter
Moxostoma carinatum	river redhorse
Engraulicypris brevianalis	river sardine
Notropis blennius	river shiner
Psilorhynchus sucatio	river stone carp
Salmo trutta	river trout
Melanophryniscus devincenzii	Rivera redbelly toad
Bunolagus monticularis	riverine rabbit
Dendropsophus riveroi	Rivero's Amazon treeffrog
Mannophryne riveroi	Rivero's poison frog
Hyloxalus idiomelus	Rivero's rocket frog
Dendropsophus minusculus	Rivero's tiny treefrog
Rhinella humboldti	Rivero's toad
Leptodactylus riveroi	Rivero's white-lipped frog
Scarus rivulatus	rivulated parrotfish
Rutilus rutilus	roach minnow
Myomimus roachi	Roach's mouse-tailed dormouse
Hippotragus equinus	roan antelope
Percina roanoka	Roanoke darter
Percina rex	Roanoke logperch
Proechimys roberti	Roberto's spiny-rat
Sauromys petrophilus	Roberts's flat-headed bat
Prunella rubeculoides	robin accentor
Marmosa robinsoni	Robinson's mouse opossum
Satyrichthys welchi	robust armoured-gurnard
Acentrogobius janthinopterus	robust mangrove goby
Laemonema robustum	robust mora
Valamugil robustus	robust mullet
Choerodon robustus	robust tuskfish
Holacanthus tricolor	rock beauty
Entomacrodus chiostictus	rock blenny
Procypris rabaudi	rock carp
Kerodon rupestris	Rock cavy
Centrolabrus exoletus	rock cook
Graphiurus platyops	rock dormouse
Kuhlia rupestris	rock flagtail
Gobius paganellus	rock goby
Hexagrammos lagocephalus	rock greenling
Epinephelus fasciatomaculosus	rock grouper
Pholis gunnellus	rock gunnel
Myotomys sloggetti	Rock karroo rat
Columba livia	rock pigeon
Lagopus muta	rock ptarmigan
Thoropa miliaris	rock river frog
Calidris ptilocnemis	rock sandpiper
Lepidopsetta bilineata	rock sole
Xiphister mucosus	rock stickleback
Microtus chrotorrhinus	rock vole
Halichoeres semicinctus	rock wrasse
Eudyptes chrysocome	Rockhopper penguin
Cylindraspis peltastes	Rodrigues domed tortoise
Cylindraspis vosmaeri	Rodrigues giant saddleback tortoise
Pteropus rodricensis	Rodriguez flying fox
Tepuihyla rodriguezi	Rodriguez's Amazon treefrog
Pithecopus rohdei	Rohde's leaf frog
Labeo rohita	rohu
Chrysiptera rollandi	Rolland's demoiselle
Mesocricetus newtoni	Romanian hamster
Cordylus imkeae	Rooiberg girdled lizard
Corvus frugilegus	rook
Nematistius pectoralis	roosterfish
Microtus oeconomus	root vole
Hyloscirtus phyllognathus	Roque treefrog
Pseudantechinus roryi	Rory Cooper's false Antechinus
Pseudoplesiops rosae	Rose Island basslet
Pheucticus ludovicianus	rose-breasted grosbeak
Psittacula krameri	Rose-ringed parakeet
Piranga roseogularis	rose-throated tanager
Rasbora dusonensis	rosefin rasbora
Lythrurus ardens	rosefin shiner
Boana rosenbergi	Rosenberg's treefrog
Sebastes helvomaculatus	rosethorn rockfish
Anser rossii	Ross' goose
Pethia conchonius	rosy barb
Rhodeus notatus	rosy bitterling
Rhodeus ocellatus ocellatus	rosy bitterling
Cyttopsis rosea	rosy dory
Parascolopsis eriomma	rosy dwarf monocle bream
Parascolopsis inermis	rosy dwarf monocle bream
Parupeneus rubescens	rosy goatfish
Eupsophus roseus	rosy ground frog
Xyrichtys martinicensis	rosy razorfish
Sebastes rosaceus	rosy rockfish
Hybopsis rubrifrons	rosyface chub
Stemonosudis rothschildi	Rothschild's barracudina
Eospalax rothschildi	Rothschild's zokor
Grammoplites scaber	rough flathead
Cyclorana verrucosa	rough frog
Hylomantis aspera	rough leaf frog
Scobinichthys granulatus	rough leatherjacket
Deania hystricosa	rough longnose dogfish
Eutropis rudis	rough mabuya
Taractes asper	rough pomfret
Trachurus lathami	rough scad
Notropis baileyi	rough shiner
Coelorinchus aspercephalus	rough-head whiptail
Buteo lagopus	rough-legged hawk
Psettina gigantea	rough-scaled flounder
Taricha granulosa	rough-skinned newt
Steno bredanensis	rough-toothed dolphin
Decapterus tabl	roughear scad
Sebastes aleutianus	rougheye rockfish
